Location_1,Location_2,Shared_MACs,Similarity_Score
EBlock_1F_ENE131,EBlock_3F_ENE329,4,0.09302325581395349
EBlock_1F_ENE131,GBlock_1F_DeanOffice,1,0.0196078431372549
EBlock_1F_ENE131,GBlock_1F_Washroom,1,0.014084507042253521
EBlock_1F_ENE131,GBlock_2F_ENC201,0,0.0
EBlock_3F_ENE329,GBlock_1F_DeanOffice,1,0.027777777777777776
EBlock_3F_ENE329,GBlock_1F_Washroom,1,0.017857142857142856
EBlock_3F_ENE329,GBlock_2F_ENC201,0,0.0
GBlock_1F_DeanOffice,GBlock_1F_Washroom,12,0.24
GBlock_1F_DeanOffice,GBlock_2F_ENC201,7,0.175
GBlock_1F_Washroom,GBlock_2F_ENC201,12,0.21818181818181817
